cntry,netuse,gndr,agea,eisced,mnactic,hinctnta,ipcrtiv,impdiff,impfun,iscomajor,freqnet,nonet
BE,7,2,57,2,3,6,3,2,5,4,1,7
BE,7,1,18,4,2,3,3,4,3,10,1,7
BE,6,1,30,3,3,2,3,2,4,7,1,6
BE,6,1,58,6,1,7,3,3,4,3,1,6
BE,3,1,60,6,6,6,1,3,4,2,0,3
BE,7,2,24,4,1,2,3,3,3,5,1,7
BE,7,2,39,7,1,8,4,4,3,3,1,7
BE,7,2,43,6,3,2,3,3,3,2,1,7
BE,2,2,49,2,1,6,4,2,4,5,0,2
BE,7,1,27,6,1,3,5,4,3,1,1,7
BE,7,1,42,7,1,10,5,5,0,2,1,7
BE,5,1,48,4,1,6,3,2,4,7,0,5
BE,7,1,61,7,1,8,3,3,3,2,1,7
BE,2,1,63,5,6,8,3,4,3,3,0,2
BE,0,1,74,4,6,4,3,4,3,3,0,1
BE,7,2,30,7,1,5,4,5,4,2,1,7
BE,6,2,33,7,1,4,5,2,5,3,1,6
BE,0,1,74,4,6,5,4,2,2,8,0,1
BE,7,1,59,4,8,8,5,3,3,4,1,7
BE,7,1,18,4,9,8,3,5,4,10,1,7
BE,5,1,55,1,1,5,4,5,4,4,0,5
BE,4,1,62,3,6,7,1,0,3,10,0,4
BE,0,2,34,3,1,8,1,2,2,9,0,1
BE,1,2,42,3,1,6,4,3,2,9,0,1
BE,7,1,62,1,1,6,3,4,3,3,1,7
BE,0,1,72,2,6,5,3,3,4,7,0,1
BE,6,2,50,1,8,2,3,3,2,10,1,6
BE,7,1,17,2,9,5,2,4,4,9,1,7
BE,7,1,25,7,1,10,4,3,4,3,1,7
BE,7,1,62,6,6,8,4,2,0,2,1,7
BE,4,2,34,2,5,7,4,4,2,9,0,4
BE,0,1,35,7,1,7,3,4,4,3,0,1
BE,7,2,41,6,2,7,4,4,4,2,1,7
BE,0,2,61,2,6,7,3,3,3,3,0,1
BE,0,2,82,1,6,10,1,3,3,9,0,1
BE,7,2,27,7,1,8,4,4,3,2,1,7
BE,7,1,21,4,1,4,5,4,5,2,1,7
BE,7,1,35,6,1,7,5,1,4,7,1,7
BE,6,1,48,6,1,7,4,3,2,2,1,6
BE,7,1,52,1,1,6,2,2,3,8,1,7
BE,7,1,64,7,1,7,3,1,1,3,1,7
BE,7,1,67,4,6,5,5,4,2,1,1,7
BE,6,1,82,4,6,2,3,2,3,1,1,6
BE,7,2,55,6,1,5,4,4,4,2,1,7
BE,7,1,18,2,4,7,4,3,4,10,1,7
BE,7,1,31,7,1,9,4,3,2,2,1,7
BE,0,2,65,2,8,3,4,2,3,5,0,1
BE,7,2,41,2,1,2,2,3,3,6,1,7
BE,6,1,58,7,1,8,3,3,4,5,1,6
BE,6,1,52,7,8,5,5,3,4,1,1,6
BE,7,1,47,5,1,8,4,4,3,3,1,7
BE,2,1,40,6,1,6,3,4,4,3,0,2
BE,7,2,52,1,1,5,4,4,3,4,1,7
BE,6,1,46,7,1,8,3,3,2,2,1,6
BE,6,2,51,4,1,7,3,5,3,4,1,6
BE,7,2,59,6,6,9,4,3,5,2,1,7
BE,6,1,26,4,1,4,4,3,4,1,1,6
BE,7,1,34,7,1,10,4,3,4,3,1,7
BE,7,1,30,7,1,9,4,2,4,3,1,7
